name,price,sale_price,store,date
"ALKOHOLNI KIS ZA VLAGANJE AROMATIZIRANI 9%, RENŠKI HRAM, 1L",1.49,,Spar,2026-01-02 00:00:00
"ALKOHOLNI KIS, S-BUDGET, 1L",0.63,,Spar,2026-01-02 00:00:00
"ALKOHOLNI KIS, TALIS, 1L",1.73,,Spar,2026-01-02 00:00:00
"Alkoholni kis, Zvijezda, 1 l",1.49,,Mercator,2026-01-02 00:00:00
"ALKOHOLNI KIS, ZVIJEZDA, 1L",1.48,,Spar,2026-01-02 00:00:00
"ALKOHOLNI KIS, ZVIJEZDA, 3L",3.19,,Spar,2026-01-02 00:00:00
alkoholni-aromatiziran-kis-talis-1-l,1.95,,Tus,2026-01-02 00:00:00
alkoholni-kis-renski-hram-1-l,1.89,,Tus,2026-01-02 00:00:00
alkoholni-kis-renski-hram-9-3-l,5.49,,Tus,2026-01-02 00:00:00
alkoholni-kis-talis-1-l,1.75,,Tus,2026-01-02 00:00:00
alkoholni-kis-tus-9-1-l,1.24,,Tus,2026-01-02 00:00:00
alpro-fermentiran-sojin-z-breskvami-obogaten-s-kalcijem-in-vitamini-150-g,1.49,,Tus,2026-01-02 00:00:00
alpro-sojin-fermantiran-okus-limona-limeta-400-g,2.59,,Tus,2026-01-02 00:00:00
alpro-sojin-fermentiran-ananas-pasijonka--brez-dodatnega-sladkorja-400-g,2.59,,Tus,2026-01-02 00:00:00
alpro-sojin-fermentiran-borovnica-400-g,2.59,,Tus,2026-01-02 00:00:00
alpro-sojin-fermentiran-naravni-okus-s-kokosom-400-g,2.59,,Tus,2026-01-02 00:00:00
alpro-sojin-fermentiran-natur-brez-sladkorja-400-g,2.59,,Tus,2026-01-02 00:00:00
alpro-sojin-fermentiran-skyr-mango-400-g,2.59,,Tus,2026-01-02 00:00:00
"ALPSKA JUHA, MAGGI, 3X46G, 2+1 GRATIS",2.76,,Spar,2026-01-02 00:00:00
"ALPSKA JUHA, PODRAVKA, 64G",1.29,,Spar,2026-01-02 00:00:00
"ALPSKA SMETANA 30% M.M., MU CUISINE, 250G",3.39,,Spar,2026-01-02 00:00:00
"ALPSKA SMETANA ZA KAVO, MU CUISINE, 0,5L",2.28,,Spar,2026-01-02 00:00:00
"ALPSKA SMETANA ZA KUHANJE, MU CUISINE, 200ML",1.99,,Spar,2026-01-02 00:00:00
"ALPSKA SMETANA ZA KUHANJE, MU CUISINE, 500ML",3.49,,Spar,2026-01-02 00:00:00
"ALPSKA SMETANA ZA STEPANJE 33%, MU CUISINE, 1L",7.99,,Spar,2026-01-02 00:00:00
"Alpska smetana za stepanje, 33 % m.m., Mu Cuisine, 500 ml",4.29,,Mercator,2026-01-02 00:00:00
"ALPSKA SMETANA ZA STEPANJE, MU CUISINE, 0,2L",2.39,,Spar,2026-01-02 00:00:00
"ALPSKA SMETANA ZA STEPANJE, MU CUISINE, 0,5L",4.29,,Spar,2026-01-02 00:00:00
alpska-juha-podravka-64-g,1.49,,Tus,2026-01-02 00:00:00
"ALPSKI TOPLJENI SIR ZA MAZANJE, LJUBLJANSKE M., 140G",2.13,,Spar,2026-01-02 00:00:00
"ALPSKO ČOKOLADNO MLEKO, 500ML",1.38,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO 0,5%, 1L",1.69,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO 1,5% M.M. BREZ LAKTOZE, LAHKOTEN DAN, 6X1L",11.79,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO 1,5% M.M. POL POSNETO, 1L",1.68,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO 1,5% M.M., 6X1L",9.49,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO 1,5%, 0,5L",1.09,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO 1,5%, 1L",1.69,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO 3,5% M.M., 12X1L",16.9,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO 3,5% M.M., 6X1L",9.49,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO BREZ LAKTOZE 1,5% M.M. LAHKOTEN DAN, 1L",1.99,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO BREZ LAKTOZE 3,5% M.M. LAHKOTEN DAN, 1L",1.99,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO BREZ LAKTOZE 3,5%M.M. LAHKOTEN DAN, 6X1L",11.79,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO ČOKOLADNO, 0,2L",0.77,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO ČOKOLADNO, 0,5L",1.44,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO ČOKOLADNO, 1L",2.08,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO ČOKOLADNO, 3X200ML",2.29,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO POLNOMASTNO 3,5% M.M., 0,5L",1.09,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO POLNOMASTNO 3,5% M.M., 1L",1.69,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO POLNOMASTNO 3,5% M.M., 200ML",0.65,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO PROFFESIONAL BARISTA, 1L",1.99,,Spar,2026-01-02 00:00:00
"ALPSKO MLEKO S PROTEINI, HIGH PROTEIN, 1L",1.99,,Spar,2026-01-02 00:00:00
alpsko-mleko-brez-laktoze-15--mm-02-l,0.89,,Tus,2026-01-02 00:00:00
alpsko-mleko-brez-laktoze-35--mm-1-l,1.99,,Tus,2026-01-02 00:00:00
alpsko-mleko-brez-laktoze-lahkoten-dan-15-mm-61,11.29,,Tus,2026-01-02 00:00:00
alpsko-mleko-lahkoten-dan-61,11.79,,Tus,2026-01-02 00:00:00
